,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
0,105,500,Private room,Manhattan,Hell's Kitchen,39,5.0,,1.0,1.0,549.0,1.0,40.762099,-73.996022,2015-08-10 21:44:27.340600
1,2515,2758,Private room,Manhattan,Harlem,117,4.5,2.0,1.0,2.0,59.0,2.0,40.799205,-73.953676,2015-08-10 21:44:27.340600
2,2595,2845,Entire home/apt,Manhattan,Midtown,17,5.0,2.0,0.0,1.0,285.0,1.0,40.753621,-73.983774,2015-08-10 21:44:27.340600
3,3330,4177,Private room,Brooklyn,Williamsburg,16,4.5,2.0,1.0,1.0,125.0,3.0,40.708558,-73.942362,2015-08-10 21:44:27.340600
4,3831,4869,Private room,Brooklyn,Clinton Hill,8,4.5,3.0,1.0,1.0,80.0,1.0,40.685138,-73.959757,2015-08-10 21:44:27.340600
5,4573,5871,Entire home/apt,Brooklyn,Crown Heights,5,5.0,,2.0,,180.0,3.0,40.674376,-73.93399,2015-08-10 21:44:27.340600
6,4611,5926,Private room,Manhattan,Harlem,68,4.5,1.0,1.0,,55.0,3.0,40.824861,-73.949982,2015-08-10 21:44:27.340600
7,4989,7118,Entire home/apt,Manhattan,Hell's Kitchen,14,4.5,3.0,1.0,1.0,200.0,2.0,40.7626,-73.993045,2015-08-10 21:44:27.340600
8,5044,7222,Entire home/apt,Manhattan,East Village,41,5.0,4.0,1.0,1.0,175.0,3.0,40.726334,-73.989478,2015-08-10 21:44:27.340600
9,5099,7322,Entire home/apt,Manhattan,Murray Hill,47,4.5,2.0,1.0,1.0,200.0,3.0,40.747714,-73.975149,2015-08-10 21:44:27.340600
10,5121,7356,Private room,Brooklyn,Bedford-Stuyvesant,41,4.5,2.0,1.0,,50.0,2.0,40.686882,-73.955957,2015-08-10 21:44:27.340600
11,5136,7378,Entire home/apt,Brooklyn,Sunset Park,1,5.0,4.0,3.0,1.5,249.0,4.0,40.661197,-73.994227,2015-08-10 21:44:27.340600
12,5172,7386,Entire home/apt,Manhattan,Murray Hill,42,4.5,2.0,1.0,1.0,129.0,5.0,40.744958,-73.974201,2015-08-10 21:44:27.340600
13,5178,8967,Private room,Manhattan,Midtown,238,4.5,2.0,1.0,1.0,73.0,1.0,40.764681,-73.983154,2015-08-10 21:44:27.340600
14,5238,7549,Entire home/apt,Manhattan,Chinatown,111,4.5,3.0,1.0,1.0,140.0,1.0,40.713444,-73.990375,2015-08-10 21:44:27.340600
15,5258,7611,Entire home/apt,Brooklyn,Williamsburg,49,5.0,2.0,1.0,1.0,135.0,2.0,40.710302,-73.964961,2015-08-10 21:44:27.340600
