,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
0,105,500,Private room,Manhattan,Hell's Kitchen,39,5.0,7,1.0,1.0,167.0,1,40.762099,-73.996022,2014-05-12 08:56:52.946
1,2515,2758,Private room,Manhattan,Harlem,95,4.5,2,1.0,2.0,55.0,2,40.799205,-73.953676,2014-05-12 18:11:09.122
2,2993,3352,Entire home/apt,Manhattan,Lower East Side,0,,2,1.0,1.0,168.0,5,40.723593,-73.991188,2014-05-12 15:16:46.188
3,3046,2758,Entire home/apt,Manhattan,Harlem,10,4.5,6,1.0,2.0,298.0,3,40.813498,-73.945873,2014-05-12 19:47:22.038
4,3101,2758,Private room,Manhattan,Harlem,11,4.5,2,1.0,1.0,140.0,2,40.813628,-73.946299,2014-05-12 00:57:13.100
5,3102,2758,Private room,Manhattan,Harlem,23,5.0,4,1.0,1.0,212.0,2,40.8141,-73.945891,2014-05-12 01:03:09.110
6,3153,3690,Private room,Queens,Astoria,33,5.0,2,1.0,1.0,112.0,1,40.759736,-73.906151,2014-05-12 05:13:53.328
7,3687,4647,Entire home/apt,Brooklyn,Bedford-Stuyvesant,43,4.5,3,,1.0,100.0,7,40.6783,-73.944627,2014-05-12 08:45:14.766
8,3831,4869,Private room,Brooklyn,Clinton Hill,0,,3,1.0,1.0,112.0,1,40.685138,-73.959757,2014-05-12 21:15:38.208
9,4573,5871,Entire home/apt,Brooklyn,Crown Heights,3,4.0,6,2.0,,202.0,3,40.674376,-73.93399,2014-05-12 19:01:16.331
10,5030,7201,Entire home/apt,Manhattan,Upper East Side,90,4.5,4,1.0,1.0,129.0,2,40.781098,-73.952188,2014-05-12 14:19:18.050
11,5044,7222,Entire home/apt,Manhattan,East Village,17,5.0,4,1.0,1.0,196.0,3,40.726353,-73.989371,2014-05-12 15:32:48.302
12,5053,7230,Entire home/apt,Manhattan,Upper East Side,129,4.5,4,1.0,,168.0,4,40.780267,-73.950638,2014-05-12 16:16:44.727
13,5054,7231,Entire home/apt,Manhattan,Hell's Kitchen,44,4.5,2,1.0,1.0,168.0,1,40.765509,-73.986313,2014-05-12 16:21:24.615
14,5079,7286,Entire home/apt,Manhattan,Harlem,149,5.0,4,2.0,1.0,258.0,3,40.813613,-73.945896,2014-05-12 18:31:44.881
15,5099,7322,Entire home/apt,Manhattan,Murray Hill,31,4.5,2,1.0,1.0,225.0,2,40.747714,-73.975149,2014-05-12 20:14:06.985
16,5121,7356,Private room,Brooklyn,Bedford-Stuyvesant,36,4.5,2,1.0,,56.0,2,40.686882,-73.955957,2014-05-11 09:11:09.556
17,5135,7380,Private room,Manhattan,Harlem,176,4.5,4,1.0,1.0,100.0,1,40.815396,-73.945046,2014-05-11 23:45:29.326
18,5136,7378,Entire home/apt,Brooklyn,Sunset Park,1,5.0,4,3.0,1.5,280.0,4,40.661197,-73.994227,2014-05-11 23:50:59.111
19,5145,7402,Entire home/apt,Manhattan,East Village,8,4.5,6,2.0,1.5,410.0,1,40.724583,-73.979907,2014-05-12 00:37:12.629
