listing_id,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
0,105,500,Private room,Manhattan,Hell's Kitchen,39,5,7,1,1,174,1,40.762099,-73.996022,58:59.6
1,2515,2758,Private room,Manhattan,Harlem,106,4.5,2,1,2,69,2,40.799205,-73.953676,53:51.8
2,2684,2965,Private room,Manhattan,Upper West Side,3,5,2,1,1.5,152,1,40.792353,-73.967807,36:20.4
3,2993,3352,Entire home/apt,Manhattan,Lower East Side,2,4.5,2,1,1,175,5,40.723593,-73.991188,08:21.5
4,3330,4177,Private room,Brooklyn,Williamsburg,11,5,2,1,1,152,3,40.708558,-73.942362,18:01.5
5,3687,4647,Entire home/apt,Brooklyn,Bedford-Stuyvesant,47,4.5,3,1,1,104,1,40.6783,-73.944627,47:52.6
6,3831,4869,Private room,Brooklyn,Clinton Hill,4,4.5,3,1,1,117,1,40.685138,-73.959757,49:27.5
7,4573,5871,Entire home/apt,Brooklyn,Crown Heights,5,5,6,2,,211,3,40.674376,-73.93399,42:36.8
8,4611,5926,Private room,Manhattan,Harlem,64,4.5,1,1,,65,3,40.824861,-73.949982,22:35.2
9,4989,7118,Entire home/apt,Manhattan,Hell's Kitchen,13,4.5,3,1,1,234,2,40.7626,-73.993045,41:24.5
10,5044,7222,Entire home/apt,Manhattan,East Village,30,5,4,1,1,205,3,40.726353,-73.989371,24:16.2
11,5079,7286,Entire home/apt,Manhattan,Harlem,164,5,4,2,1,269,3,40.813613,-73.945896,14:18.7
12,5099,7322,Entire home/apt,Manhattan,Murray Hill,40,4.5,2,1,1,235,3,40.747714,-73.975149,52:34.7
13,5107,7332,Entire home/apt,Brooklyn,Bedford-Stuyvesant,45,5,8,2,1,293,3,40.69299,-73.957232,29:46.4
14,5110,7337,Entire home/apt,Manhattan,Lower East Side,30,4.5,2,1,1,202,3,40.713942,-73.981839,45:13.8
15,5135,7380,Private room,Manhattan,Harlem,211,5,4,1,1,104,1,40.818028,-73.947449,18:44.4
16,5136,7378,Entire home/apt,Brooklyn,Sunset Park,1,5,4,3,1.5,291,4,40.661197,-73.994227,23:00.7
17,5172,7386,Entire home/apt,Manhattan,Murray Hill,41,4.5,2,1,1,151,5,40.744958,-73.974201,21:15.8
18,5178,8967,Private room,Manhattan,Midtown,204,4.5,2,1,1,85,1,40.764681,-73.983154,50:57.9
19,5216,7510,Entire home/apt,Manhattan,Flatiron District,28,4,4,2,1,222,2,40.743572,-73.989987,14:23.7
20,5222,7516,Entire home/apt,Manhattan,East Village,92,5,2,1,1,105,4,40.727637,-73.979488,43:18.0
21,5238,7549,Entire home/apt,Manhattan,Chinatown,90,4.5,3,1,1,170,1,40.713444,-73.990375,05:36.7
22,5258,7611,Entire home/apt,Brooklyn,Williamsburg,44,5,2,1,1,158,2,40.710302,-73.964961,46:17.2
23,5270,7626,Entire home/apt,Manhattan,Lower East Side,125,4.5,3,1,1,117,2,40.717605,-73.986643,52:53.3
24,5295,7702,Entire home/apt,Manhattan,Upper West Side,28,4.5,2,1,1,158,2,40.803158,-73.965446,58:19.0
25,5441,7989,Private room,Manhattan,Hell's Kitchen,54,5,2,1,1,158,3,40.76076,-73.988667,28:06.7
26,5489,8178,Entire home/apt,Brooklyn,South Slope,183,4.5,4,2,,170,1,40.669349,-73.987054,40:00.8
27,5552,8380,Entire home/apt,Manhattan,West Village,48,5,2,1,1,228,1,40.736491,-74.010575,02:38.2
28,5803,9744,Private room,Brooklyn,South Slope,108,4.5,2,1,,108,4,40.66829,-73.987791,39:22.6
29,5818,2845,Private room,Manhattan,Hell's Kitchen,43,4.5,2,1,1,228,1,40.765304,-73.985214,52:13.5
30,5862,2845,Entire home/apt,Manhattan,Hell's Kitchen,29,4.5,5,2,2,557,1,40.767376,-73.986467,26:36.6
31,5945,4267,Private room,Manhattan,Upper West Side,61,4.5,2,1,1,140,1,40.791046,-73.974345,45:56.0
32,5947,10889,Entire home/apt,Brooklyn,Williamsburg,106,5,4,2,1,292,2,40.719935,-73.961969,56:06.8
33,6011,11481,Entire home/apt,Brooklyn,Gowanus,101,4.5,4,1,1,193,3,40.670615,-73.991445,31:07.3
34,6103,5871,Entire home/apt,Brooklyn,Crown Heights,7,4.5,6,2,1,211,4,40.674522,-73.941096,14:22.3
35,6111,12169,Private room,Brooklyn,Greenpoint,85,4.5,2,1,,127,2,40.719211,-73.951231,51:55.8
36,6171,12712,Entire home/apt,Manhattan,Lower East Side,123,4.5,3,1,1,146,1,40.720735,-73.982107,18:02.5
37,6177,2845,Private room,Manhattan,Hell's Kitchen,3,4.5,2,1,1,263,1,40.765062,-73.986386,47:09.1
38,6288,13341,Private room,Manhattan,Kips Bay,34,5,2,1,1,199,4,40.739482,-73.983757,19:23.3
39,6436,14063,Entire home/apt,Brooklyn,Williamsburg,17,5,4,1,1,129,10,40.711308,-73.953555,01:39.0
40,6628,15042,Entire home/apt,Manhattan,Upper West Side,26,5,2,1,1,182,2,40.793,-73.976036,15:54.3
41,6990,16800,Private room,Manhattan,East Harlem,137,5,1,1,1,111,4,40.789624,-73.94802,39:22.1
42,7036,53179,Private room,Brooklyn,Kensington,4,5,2,1,0.5,82,3,40.645223,-73.98293,36:41.8
43,7097,17571,Entire home/apt,Brooklyn,Fort Greene,68,5,2,1,1,222,2,40.691685,-73.971845,47:57.2
44,7249,18667,Entire home/apt,Manhattan,NoHo,70,4.5,2,0,1,187,10,40.726144,-73.992921,55:47.8
45,7258,18729,Entire home/apt,Brooklyn,Gowanus,8,5,4,2,1,439,3,40.67666,-73.987536,43:22.4
